🀄️ mahjong️
👨🏽‍🦳 man_white_haired_tone3
👨🏽‍🦼 man_in_motorized_wheelchair_tone3
👨🏽‍🦽 man_in_manual_wheelchair_tone3
👨🏽‍⚕️ man_health_worker_tone3
👨🏽‍⚖️ man_judge_tone3
👨🏽‍✈️ man_pilot_tone3
👨🏽 man_tone3
👨🏾‍🌾 man_farmer_tone4
👨🏾‍🍳 man_cook_tone4
👨🏾‍🎓 man_student_tone4
👨🏾‍🎤 man_singer_tone4
👨🏾‍🎨 man_artist_tone4
👨🏾‍🏫 man_teacher_tone4
👨🏾‍🏭 man_factory_worker_tone4
👨🏾‍💻 man_technologist_tone4
👨🏾‍💼 man_office_worker_tone4
👨🏾‍🔧 man_mechanic_tone4
👨🏾‍🔬 man_scientist_tone4
👨🏾‍🚀 man_astronaut_tone4
👨🏾‍🚒 man_firefighter_tone4
👨🏾‍🤝‍👨🏻 men_holding_hands_tone4_tone1
👨🏾‍🤝‍👨🏼 men_holding_hands_tone4_tone2
👨🏾‍🤝‍👨🏽 men_holding_hands_tone4_tone3
👨🏾‍🦯 man_with_probing_cane_tone4
👨🏾‍🦰 man_red_haired_tone4
👨🏾‍🦱 man_curly_haired_tone4
👨🏾‍🦲 man_bald_tone4
👨🏾‍🦳 man_white_haired_tone4
👨🏾‍🦼 man_in_motorized_wheelchair_tone4
👨🏾‍🦽 man_in_manual_wheelchair_tone4
👨🏾‍⚕️ man_health_worker_tone4
👨🏾‍⚖️ man_judge_tone4
👨🏾‍✈️ man_pilot_tone4
👨🏾 man_tone4
👨🏿‍🌾 man_farmer_tone5
👨🏿‍🍳 man_cook_tone5
👨🏿‍🎓 man_student_tone5
👨🏿‍🎤 man_singer_tone5
👨🏿‍🎨 man_artist_tone5
👨🏿‍🏫 man_teacher_tone5
👨🏿‍🏭 man_factory_worker_tone5
👨🏿‍💻 man_technologist_tone5
👨🏿‍💼 man_office_worker_tone5
👨🏿‍🔧 man_mechanic_tone5
👨🏿‍🔬 man_scientist_tone5
👨🏿‍🚀 man_astronaut_tone5
👨🏿‍🚒 man_firefighter_tone5
👨🏿‍🤝‍👨🏻 men_holding_hands_tone5_tone1
